DOI,Materials-1,Materials-2,Voltage window (V),Specific surface area (m2/g),Pore size (nm),Id/Ig,N (at. %),O (at. %),Capacitance (F/g)
10.1021/acs.iecr.5b00601,porous carbon,,1,1918.5,1.66,2.42,0,0,209.2
10.1039/c6nr02155g,carbon nanosheet,,1,1766,0.5,2.5,0,3.6,220
10.1021/acs.nanolett.5b03923,3D graphene,,0.9,1591,5.5,2.51,0,4.62,303
10.1021/acs.iecr.5b00601,porous carbon,,1,1972.1,1.65,2.55,0,0,236.5
10.1039/c3ra46037a,AC,,0.9,552,3,2.64,0,0,140
10.1021/acs.iecr.5b00601,porous carbon,,1,1634.5,1.58,2.72,0,0,204.4
10.1021/jp501742x,N-doped porous carbon,,1,3124.4,1.17,2.739,2.34,3.93,270
10.1039/c6nr02155g,carbon nanosheet,,1,910,0.6,2.9,0,0,160
10.1039/c6nr02155g,carbon nanosheet,,1,773,0.5,2.95,0,3.6,142
10.1021/jp501742x,N-doped porous carbon,,1,3034.8,1.17,3.255,5.08,11.91,189
10.1038/srep40259,N-doped porous carbon,CNT,1,187.5,3.08,3.32,9.2,2.4,75.6
10.1038/srep40259,N-doped porous carbon,CNT,1,551.2,2.93,3.36,3.1,3.2,184
10.1021/jp501742x,N-doped porous carbon,,1,3336.7,1.17,3.412,0.63,3.53,247
10.1021/jp501742x,N-doped porous carbon,,1,3384.3,1.17,4.182,5.67,11.64,219
10.1039/c3ra46037a,AC,,0.9,1616,2.1,4.54,0,0,173
